,id,question,code_concise,code_verbose,answer,predict
306,307,What was the average delay in December?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",48.95
307,308,What was the average delay in May?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",47.67741935483871
308,309,Show delay reason counts for WH4.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","       delay_reason  count
0           Traffic     52
1              None     43
2   Minor Breakdown     38
3  Mechanical Issue     35
4       Driver Rest     32
5           Weather     28
6     Customs Delay     22"
309,310,How many shipments occurred on Fridays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",143
310,311,How many shipments from WH3 had delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",203
311,312,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
312,313,What was the average delay in April?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",56.81111111111111
313,314,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
314,315,Which day of week has highest average delay_minutes?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The day of the week with the highest average delay minutes is Thursday.
315,316,Which route had the most Minor Breakdown delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the most 'Minor Breakdown' delays is: Route E
316,317,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
317,318,How many shipments from WH2 had delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",193
318,319,What was the average delay in March?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",46.623655913978496
319,320,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
320,321,How many shipments from WH1 had delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",227
321,322,Which warehouse had the most shipments in May?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the most shipments in May is WH1.
322,323,What was the average delay in March?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",46.623655913978496
323,324,Show the top 3 routes by total delay_minutes.,result = df.groupby('route')['delay_minutes'].sum().sort_values(ascending=False).head(3),"result = df.groupby('route')['delay_minutes'].sum().sort_values(ascending=False).head(5).reset_index(name='total_delay')
","route
Route E    11580
Route A    10776
Route B    10569
Name: delay_minutes, dtype: int64","     route  total_delay_minutes
0  Route E              11580.0
1  Route A              10776.0
2  Route B              10569.0"
324,325,How many shipments occurred on Wednesdays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",12
325,326,Which route had the most Mechanical Issue delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the most Mechanical Issue delays is Route D.
326,327,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
327,328,Which route had the most None delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the most None delays is: Route A
328,329,List shipments in May with delay_minutes > 30.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","     id    route warehouse  delivery_time  delay_minutes      delay_reason  \
0   121  Route B       WH4           6.91            108  Mechanical Issue   
1   126  Route D       WH3           6.23             31           Weather   
2   128  Route C       WH2           6.30            112  Mechanical Issue   
3   129  Route A       WH4           6.55            120       Driver Rest   
4   130  Route A       WH2           4.41             33           Weather   
5   133  Route A       WH1           6.64             67   Minor Breakdown   
6   134  Route A       WH3           6.48             43   Minor Breakdown   
7   136  Route E       WH1           6.37             67   Minor Breakdown   
8   137  Route B       WH1           5.48             69           Weather   
9   142  Route C       WH4           5.60             72     Customs Delay   
10  144  Route B       WH4           5.15            110       Driver Rest   
11  145  Route B       WH3           6.45             70  Mechanical Issue   
12  146  Route D       WH2           4.38             70  Mechanical Issue   
13  147  Route C       WH1           5.93             45   Minor Breakdown   
14  150  Route E       WH3           6.36            109     Customs Delay   
15  486  Route D       WH2           5.80             49           Weather   
16  487  Route D       WH3           4.35             53  Mechanical Issue   
17  488  Route A       WH2           4.59             99   Minor Breakdown   
18  490  Route D       WH3           4.80             75     Customs Delay   
19  492  Route B       WH2           6.58             88   Minor Breakdown   
20  493  Route A       WH2           5.01             73  Mechanical Issue   
21  494  Route D       WH3           5.01             90       Driver Rest   
22  497  Route A       WH4           4.14             72           Weather   
23  499  Route A       WH1           4.84             54           Traffic   
24  501  Route B       WH2           6.24             93   Minor Breakdown   
25  502  Route D       WH3           4.16             99  Mechanical Issue   
26  506  Route A       WH1           5.41             65     Customs Delay   
27  507  Route E       WH1           6.89             95     Customs Delay   
28  508  Route B       WH1           5.59             32  Mechanical Issue   
29  509  Route B       WH3           4.93             89           Traffic   
30  510  Route D       WH1           5.84             67       Driver Rest   
31  511  Route D       WH1           6.82             60       Driver Rest   
32  512  Route C       WH2           4.81             70           Weather   
33  515  Route E       WH2           5.98             95       Driver Rest   
34  516  Route C       WH4           6.81             42           Weather   
35  851  Route B       WH4           5.43             58           Traffic   
36  853  Route B       WH1           4.36            109     Customs Delay   
37  854  Route B       WH1           6.34             45           Traffic   
38  856  Route B       WH3           5.47             79       Driver Rest   
39  857  Route A       WH2           6.21             79           Weather   
40  859  Route E       WH3           4.62             96   Minor Breakdown   
41  861  Route D       WH3           6.37             70  Mechanical Issue   
42  862  Route D       WH1           6.59             85     Customs Delay   
43  863  Route A       WH1           6.46            117   Minor Breakdown   
44  864  Route E       WH3           5.18             38  Mechanical Issue   
45  865  Route D       WH3           6.79             86     Customs Delay   
46  866  Route A       WH2           5.69             88           Traffic   
47  867  Route E       WH1           4.04             52     Customs Delay   
48  868  Route B       WH2           4.34             79           Traffic   
49  872  Route B       WH1           5.40             33           Weather   
50  875  Route C       WH1           5.28             83           Weather   
51  877  Route A       WH1           5.50             51           Traffic   
52  879  Route A       WH1           4.43             88     Customs Delay   
53  880  Route E       WH3           6.68            109  Mechanical Issue   
54  881  Route E       WH4           6.89             47   Minor Breakdown   

         date  
0  2024-05-01  
1  2024-05-06  
2  2024-05-08  
3  2024-05-09  
4  2024-05-10  
5  2024-05-13  
6  2024-05-14  
7  2024-05-16  
8  2024-05-17  
9  2024-05-22  
10 2024-05-24  
11 2024-05-25  
12 2024-05-26  
13 2024-05-27  
14 2024-05-30  
15 2024-05-01  
16 2024-05-02  
17 2024-05-03  
18 2024-05-05  
19 2024-05-07  
20 2024-05-08  
21 2024-05-09  
22 2024-05-12  
23 2024-05-14  
24 2024-05-16  
25 2024-05-17  
26 2024-05-21  
27 2024-05-22  
28 2024-05-23  
29 2024-05-24  
30 2024-05-25  
31 2024-05-26  
32 2024-05-27  
33 2024-05-30  
34 2024-05-31  
35 2024-05-01  
36 2024-05-03  
37 2024-05-04  
38 2024-05-06  
39 2024-05-07  
40 2024-05-09  
41 2024-05-11  
42 2024-05-12  
43 2024-05-13  
44 2024-05-14  
45 2024-05-15  
46 2024-05-16  
47 2024-05-17  
48 2024-05-18  
49 2024-05-22  
50 2024-05-25  
51 2024-05-27  
52 2024-05-29  
53 2024-05-30  
54 2024-05-31  "
